competition_name,festival_name,season,matchpulse_competition_path,matchpulse_competition_url,match_count_expected
Grey Rugby Festival 2022,Grey Rugby Festival,2022,2022/grey-rugby-festival,https://rugby.matchpulse.co.za/competitions/2022/grey-rugby-festival,19
Grey Rugby Festival 2023,Grey Rugby Festival,2023,2023/grey-rugby-festival-2,https://rugby.matchpulse.co.za/competitions/2023/grey-rugby-festival-2,17
Grey Rugby Festival 2024,Grey Rugby Festival,2024,2024/grey-rugby-festival-3,https://rugby.matchpulse.co.za/competitions/2024/grey-rugby-festival-3,13
Grey Rugby Festival 2026,Grey Rugby Festival,2026,2026/grey-rugby-festival-4,https://rugby.matchpulse.co.za/competitions/2026/grey-rugby-festival-4,19
KES Easter Rugby Festival 2022,KES Easter Rugby Festival,2022,2022/kes-easter-rugby-festival,https://rugby.matchpulse.co.za/competitions/2022/kes-easter-rugby-festival,12
KES Easter Rugby Festival 2023,KES Easter Rugby Festival,2023,2023/kes-easter-rugby-festival-2,https://rugby.matchpulse.co.za/competitions/2023/kes-easter-rugby-festival-2,17
KES Easter Rugby Festival 2024,KES Easter Rugby Festival,2024,2024/kes-easter-rugby-festival-3,https://rugby.matchpulse.co.za/competitions/2024/kes-easter-rugby-festival-3,13
KES Easter Rugby Festival 2025,KES Easter Rugby Festival,2025,2025/kes-easter-rugby-festival-4,https://rugby.matchpulse.co.za/competitions/2025/kes-easter-rugby-festival-4,1
KES Easter Rugby Festival 2026,KES Easter Rugby Festival,2026,2026/kes-easter-rugby-festival-5,https://rugby.matchpulse.co.za/competitions/2026/kes-easter-rugby-festival-5,10
Kearsney Easter Rugby Festival 2022,Kearsney Easter Rugby Festival,2022,2022/kearsney-easter-rugby-festival,https://rugby.matchpulse.co.za/competitions/2022/kearsney-easter-rugby-festival,15
Kearsney Easter Rugby Festival 2023,Kearsney Easter Rugby Festival,2023,2023/kearsney-easter-rugby-festival-2,https://rugby.matchpulse.co.za/competitions/2023/kearsney-easter-rugby-festival-2,12
Kearsney Easter Rugby Festival 2024,Kearsney Easter Rugby Festival,2024,2024/kearsney-easter-rugby-festival-3,https://rugby.matchpulse.co.za/competitions/2024/kearsney-easter-rugby-festival-3,17
Kearsney Easter Rugby Festival 2025,Kearsney Easter Rugby Festival,2025,2025/kearsney-easter-rugby-festival-4,https://rugby.matchpulse.co.za/competitions/2025/kearsney-easter-rugby-festival-4,1
Kearsney Easter Rugby Festival 2026,Kearsney Easter Rugby Festival,2026,2026/kearsney-easter-rugby-festival-5,https://rugby.matchpulse.co.za/competitions/2026/kearsney-easter-rugby-festival-5,15
Noord-Suid 2022,Noord-Suid,2022,2022/noord-suid,https://rugby.matchpulse.co.za/competitions/2022/noord-suid,19
Noord-Suid 2023,Noord-Suid,2023,2023/noord-suid-2,https://rugby.matchpulse.co.za/competitions/2023/noord-suid-2,24
Noord-Suid 2024,Noord-Suid,2024,2024/noord-suid-3,https://rugby.matchpulse.co.za/competitions/2024/noord-suid-3,21
Noord-Suid 2026,Noord-Suid,2026,2026/noord-suid-4,https://rugby.matchpulse.co.za/competitions/2026/noord-suid-4,40
St John's Easter Rugby Festival 2022,St John's Easter Rugby Festival,2022,2022/st-john-s-easter-rugby-festival,https://rugby.matchpulse.co.za/competitions/2022/st-john-s-easter-rugby-festival,16
St John's Easter Rugby Festival 2023,St John's Easter Rugby Festival,2023,2023/st-john-s-easter-rugby-festival-2,https://rugby.matchpulse.co.za/competitions/2023/st-john-s-easter-rugby-festival-2,18
St John's Easter Rugby Festival 2024,St John's Easter Rugby Festival,2024,2024/st-john-s-easter-rugby-festival-3,https://rugby.matchpulse.co.za/competitions/2024/st-john-s-easter-rugby-festival-3,12
St John's Easter Rugby Festival 2026,St John's Easter Rugby Festival,2026,2026/st-john-s-easter-rugby-festival-4,https://rugby.matchpulse.co.za/competitions/2026/st-john-s-easter-rugby-festival-4,6
St Stithians Easter Rugby Festival 2022,St Stithians Easter Rugby Festival,2022,2022/st-stithians-easter-rugby-festival,https://rugby.matchpulse.co.za/competitions/2022/st-stithians-easter-rugby-festival,12
St Stithians Easter Rugby Festival 2023,St Stithians Easter Rugby Festival,2023,2023/st-stithians-easter-rugby-festival-2,https://rugby.matchpulse.co.za/competitions/2023/st-stithians-easter-rugby-festival-2,8
St Stithians Easter Rugby Festival 2024,St Stithians Easter Rugby Festival,2024,2024/st-stithians-easter-rugby-festival-3,https://rugby.matchpulse.co.za/competitions/2024/st-stithians-easter-rugby-festival-3,6
St Stithians Easter Rugby Festival 2026,St Stithians Easter Rugby Festival,2026,2026/st-stithians-easter-rugby-festival-4,https://rugby.matchpulse.co.za/competitions/2026/st-stithians-easter-rugby-festival-4,4
Wildeklawer 2022,Wildeklawer,2022,2022/wildeklawer,https://rugby.matchpulse.co.za/competitions/2022/wildeklawer,20
Wildeklawer 2023,Wildeklawer,2023,2023/wildeklawer-2,https://rugby.matchpulse.co.za/competitions/2023/wildeklawer-2,20
Wildeklawer 2024,Wildeklawer,2024,2024/wildeklawer-3,https://rugby.matchpulse.co.za/competitions/2024/wildeklawer-3,23
Wildeklawer 2025,Wildeklawer,2025,2025/wildeklawer-4,https://rugby.matchpulse.co.za/competitions/2025/wildeklawer-4,27
Wildeklawer 2026,Wildeklawer,2026,2026/wildeklawer-5,https://rugby.matchpulse.co.za/competitions/2026/wildeklawer-5,25
