post_id,rugby_ignite_url,team_a,team_b,date,season,home_points,away_points,match_status,competition_name
33,https://rugbyignite.co.za/fixture/2025/michealhouse-vs-hilton/,Michaelhouse,Hilton College,2025-05-03,2025,20,25,migrated,
187,https://rugbyignite.co.za/fixture/2025/durban-high-school-vs-maritzburg-college/,Durban High School,Maritzburg College,2025-03-15,2025,29,13,migrated,
188,https://rugbyignite.co.za/fixture/2025/northwood-school-vs-michaelhouse/,Northwood School,Michaelhouse,2025-03-15,2025,15,13,migrated,
189,https://rugbyignite.co.za/fixture/2025/hilton-college-vs-westville-boys-high-school/,Hilton College,Westville Boys' High School,2025-03-15,2025,15,23,migrated,
190,https://rugbyignite.co.za/fixture/2025/maritzburg-college-vs-northwood-school/,Maritzburg College,Northwood School,2025-03-21,2025,21,24,migrated,
191,https://rugbyignite.co.za/fixture/2025/michaelhouse-vs-durban-high-school/,Michaelhouse,Durban High School,2025-03-22,2025,22,28,migrated,
192,https://rugbyignite.co.za/fixture/2025/kearsney-college-vs-hilton-college/,Kearsney College,Hilton College,2025-03-22,2025,10,50,migrated,
193,https://rugbyignite.co.za/fixture/2025/maritzburg-college-vs-glenwood-high-school/,Maritzburg College,Glenwood High School,2025-04-12,2025,37,25,migrated,
202,https://rugbyignite.co.za/fixture/2025/kearsney-college-vs-michaelhouse/,Kearsney College,Michaelhouse,2025-05-09,2025,17,50,migrated,
204,https://rugbyignite.co.za/fixture/2025/westville-boys-high-school-vs-durban-high-school/,Westville Boys' High School,Durban High School,2025-05-24,2025,33,28,migrated,
205,https://rugbyignite.co.za/fixture/2025/glenwood-high-school-vs-northwood-school/,Glenwood High School,Northwood School,2025-05-24,2025,16,30,migrated,
206,https://rugbyignite.co.za/fixture/2025/maritzburg-college-vs-kearsney-college/,Maritzburg College,Kearsney College,2025-05-31,2025,35,20,migrated,
207,https://rugbyignite.co.za/fixture/2025/durban-high-school-vs-hilton-college/,Durban High School,Hilton College,2025-05-31,2025,26,18,migrated,
208,https://rugbyignite.co.za/fixture/2025/westville-boys-high-school-vs-glenwood-high-school/,Westville Boys' High School,Glenwood High School,2025-05-31,2025,42,25,migrated,
209,https://rugbyignite.co.za/fixture/2025/michaelhouse-vs-maritzburg-college/,Michaelhouse,Maritzburg College,2025-06-07,2025,25,31,migrated,
210,https://rugbyignite.co.za/fixture/2025/westville-boys-high-school-vs-kearsney-college/,Westville Boys' High School,Kearsney College,2025-06-07,2025,33,15,migrated,
248,https://rugbyignite.co.za/fixture/2025/durban-high-school-vs-northwood-school/,Durban High School,Northwood School,2025-04-26,2025,22,19,migrated,
249,https://rugbyignite.co.za/fixture/2025/durban-high-school-vs-kearsney-college/,Durban High School,Kearsney College,2025-05-16,2025,42,20,migrated,
250,https://rugbyignite.co.za/fixture/2025/northwood-school-vs-durban-high-school/,Northwood School,Durban High School,2025-08-01,2025,5,38,migrated,
251,https://rugbyignite.co.za/fixture/2025/kearsney-college-vs-glenwood-high-school/,Kearsney College,Glenwood High School,2025-04-26,2025,32,31,migrated,
252,https://rugbyignite.co.za/fixture/2025/glenwood-high-school-vs-michaelhouse/,Hilton College,Glenwood High School,2025-05-16,2025,53,15,migrated,
253,https://rugbyignite.co.za/fixture/2025/northwood-school-vs-glenwood-high-school/,Northwood School,Glenwood High School,2025-07-26,2025,19,11,migrated,
254,https://rugbyignite.co.za/fixture/2025/glenwood-high-school-vs-maritzburg-college/,Glenwood High School,Maritzburg College,2025-08-09,2025,10,14,migrated,
255,https://rugbyignite.co.za/fixture/2025/northwood-school-vs-hilton-college/,Northwood School,Hilton College,2025-06-07,2025,22,35,migrated,
256,https://rugbyignite.co.za/fixture/2025/hilton-college-vs-maritzburg-college/,Hilton College,Maritzburg College,2025-06-14,2025,20,23,migrated,
258,https://rugbyignite.co.za/fixture/2025/hilton-college-vs-michaelhouse/,Hilton College,Michaelhouse,2025-06-21,2025,29,20,migrated,
259,https://rugbyignite.co.za/fixture/2025/maritzburg-college-vs-westville-boys-high-school/,Maritzburg College,Westville Boys' High School,2025-05-16,2025,21,22,migrated,
260,https://rugbyignite.co.za/fixture/2025/michaelhouse-vs-westville-boys-high-school/,Michaelhouse,Westville Boys' High School,2025-06-14,2025,20,50,migrated,
261,https://rugbyignite.co.za/fixture/2025/northwood-school-vs-westville-boys-high-school/,Northwood School,Westville Boys' High School,2025-04-12,2025,14,16,migrated,
334,https://rugbyignite.co.za/fixture/2025/jeppe-high-school-for-boys-vs-affies/,Jeppe High School For Boys,Afrikaanse Hoër Seunskool,2025-05-31,2025,36,38,migrated,
378,https://rugbyignite.co.za/fixture/2025/kearsney-college-vs-pretoria-boys-high-school/,Kearsney College,Pretoria Boys High School,2025-03-29,2025,28,26,migrated,
437,https://rugbyignite.co.za/fixture/2025/hilton-college-vs-pretoria-boys-high-school/,Hilton College,Pretoria Boys High School,2025-05-12,2025,38,24,migrated,
440,https://rugbyignite.co.za/fixture/2025/st-charles-college-vs-glenwood-high-school/,St Charles College,Glenwood High School,2025-03-15,2025,0,38,migrated,
441,https://rugbyignite.co.za/fixture/2025/st-charles-college-vs-hilton-college/,St Charles College,Hilton College,2025-04-26,2025,14,74,migrated,
442,https://rugbyignite.co.za/fixture/2025/st-charles-college-vs-maritzburg-college/,St Charles College,Maritzburg College,2025-05-10,2025,16,26,migrated,
457,https://rugbyignite.co.za/fixture/2025/michaelhouse-vs-northwood-school/,Michaelhouse,Northwood School,2025-05-16,2025,29,43,migrated,
497,https://rugbyignite.co.za/fixture/2025/paarl-gimnasium-vs-affies/,Paarl Gimnasium,Afrikaanse Hoër Seunskool,2025-04-12,2025,16,16,migrated,
500,https://rugbyignite.co.za/fixture/2025/paarl-gimnasium-vs-paarl-boys-high/,Paarl Gimnasium,Paarl Boys High,2025-08-02,2025,33,35,migrated,
501,https://rugbyignite.co.za/fixture/2025/paarl-boys-high-vs-affies/,Paarl Boys High,Afrikaanse Hoër Seunskool,2025-03-31,2025,25,17,migrated,
504,https://rugbyignite.co.za/fixture/2025/paarl-boys-high-vs-grey-college/,Paarl Boys High,Grey College,2025-05-10,2025,25,10,migrated,
505,https://rugbyignite.co.za/fixture/2025/grey-college-vs-jeppe-high-school-for-boys/,Grey College,Jeppe High School For Boys,2025-04-01,2025,64,31,migrated,
506,https://rugbyignite.co.za/fixture/2025/grey-college-vs-paarl-gimnasium/,Grey College,Paarl Gimnasium,2025-04-26,2025,31,43,migrated,
507,https://rugbyignite.co.za/fixture/2025/paarl-gimnasium-vs-northwood-school/,Paarl Gimnasium,Northwood School,2025-05-01,2025,46,20,migrated,Wildeklawer 2025
508,https://rugbyignite.co.za/fixture/2025/paarl-gimnasium-vs-durban-high-school/,Paarl Gimnasium,Durban High School,2025-05-03,2025,47,20,migrated,Wildeklawer 2025
509,https://rugbyignite.co.za/fixture/2025/jeppe-high-school-for-boys-vs-maritzburg-college/,Jeppe High School For Boys,Maritzburg College,2025-05-01,2025,37,24,migrated,Wildeklawer 2025
510,https://rugbyignite.co.za/fixture/2025/jeppe-high-school-for-boys-vs-northwood-school/,Jeppe High School For Boys,Northwood School,2025-05-10,2025,30,24,migrated,
512,https://rugbyignite.co.za/fixture/2025/grey-college-vs-affies/,Grey College,Afrikaanse Hoër Seunskool,2025-05-17,2025,42,37,migrated,
514,https://rugbyignite.co.za/fixture/2025/affies-vs-maritzburg-college/,Afrikaanse Hoër Seunskool,Maritzburg College,2025-07-26,2025,45,27,migrated,
515,https://rugbyignite.co.za/fixture/2025/jeppe-high-school-for-boys-vs-pretoria-boys-high-school/,Jeppe High School For Boys,Pretoria Boys High School,2025-03-15,2025,27,18,migrated,
516,https://rugbyignite.co.za/fixture/2025/pretoria-boys-high-school-vs-maritzburg-college/,Pretoria Boys High School,Maritzburg College,2025-04-26,2025,28,45,migrated,
517,https://rugbyignite.co.za/fixture/2025/pretoria-boys-high-school-vs-michaelhouse/,Pretoria Boys High School,Michaelhouse,2025-05-31,2025,24,31,migrated,
518,https://rugbyignite.co.za/fixture/2025/pretoria-boys-high-school-vs-jeppe-high-school-for-boys/,Pretoria Boys High School,Jeppe High School For Boys,2025-06-07,2025,29,30,migrated,
519,https://rugbyignite.co.za/fixture/2025/maritzburg-college-vs-pretoria-boys-high-school/,Maritzburg College,Pretoria Boys High School,2025-08-02,2025,27,31,migrated,
520,https://rugbyignite.co.za/fixture/2025/pretoria-boys-high-school-vs-affies/,Pretoria Boys High School,Afrikaanse Hoër Seunskool,2025-08-09,2025,12,41,migrated,
524,https://rugbyignite.co.za/fixture/2025/paul-roos-ginmasium-vs-affies/,Paul Roos Gimnasium,Afrikaanse Hoër Seunskool,2025-04-30,2025,18,20,migrated,Wildeklawer 2025
525,https://rugbyignite.co.za/fixture/2025/paul-roos-ginmasium-vs-paarl-gimnasium/,Paul Roos Gimnasium,Paarl Gimnasium,2025-05-10,2025,10,17,migrated,
526,https://rugbyignite.co.za/fixture/2025/paarl-boys-high-vs-paul-roos-ginmasium/,Paarl Boys High,Paul Roos Gimnasium,2025-05-24,2025,36,26,migrated,
527,https://rugbyignite.co.za/fixture/2025/grey-college-vs-paul-roos-ginmasium/,Grey College,Paul Roos Gimnasium,2025-08-16,2025,26,25,migrated,
